	Time	Field	Moment	Temerature	dMoment	Kramer	Jc	Fp	Km	Hnorm	Fpnorm
795	397746.0	1.9784	-0.10175608	4.169	0.19866159	0.52861013	0.041823492631578946	0.08274359782231579	0.24254296063961242	0.46997339414671224	0.8921692314392088
796	398246.0	1.9835	-0.1015585	4.169	0.19825402	0.5284076	0.04173768842105263	0.08278670498315789	0.24245003297997292	0.4711849106803497	0.8926340273094658
797	398746.0	1.9885	-0.10137114	4.169	0.19788818	0.52825221	0.04166066947368421	0.08284224124842104	0.24237873870352017	0.47237267198783733	0.8932328379534414
798	399246.0	1.9935	-0.10116334	4.169	0.19753145	0.52810732	0.041585568421052634	0.08290083064736843	0.24231225601118503	0.473560433295325	0.8938645685090987
799	399746.0	1.9984	-0.10098143	4.169	0.19718896	0.52797323	0.04151346526315789	0.08296050898189472	0.24225073237336492	0.47472443937666287	0.8945080403334956
800	400246.0	2.0034	-0.10080974	4.168	0.19685542	0.52785617	0.041443246315789474	0.08302739966905263	0.24219702313338806	0.4759122006841505	0.895229278163645
801	400746.0	2.0085	-0.10061284	4.168	0.19649028	0.52770171	0.041366374736842106	0.08308436365894738	0.24212614638309718	0.47712371721778796	0.8958434830135868
802	401247.0	2.0135	-0.10039959	4.168	0.19612063	0.52753289	0.04128855368421053	0.0831345028431579	0.24204869389152486	0.47831147852527556	0.8963841005189817
803	401747.0	2.0184	-0.10020678	4.168	0.19573638	0.5273362	0.04120765894736842	0.08317353881936843	0.24195844269439765	0.4794754846066135	0.8968049995106959
804	402247.0	2.0234	-0.10002487	4.168	0.19536962	0.52716789	0.04113044631578947	0.08322334507536842	0.24188121836407644	0.48066324591410114	0.8973420272724304
805	402747.0	2.0285	-0.09985386	4.168	0.19504085	0.52705573	0.041061231578947366	0.08329270825789474	0.24182975655522895	0.4818747624477385	0.8980899243771414
806	403247.0	2.0335	-0.09966105	4.168	0.19470268	0.52692283	0.04099003789473684	0.08335324205894737	0.24176877170983488	0.4830625237552262	0.8987426201286265
807	403748.0	2.0386	-0.09944848	4.167	0.19430504	0.52671421	0.04090632421052632	0.08339163253557896	0.2416730555423078	0.4842740402888636	0.8991565591273216
808	404249.0	2.0435	-0.09924546	4.167	0.19391954	0.52650736	0.040825166315789474	0.08342622736631579	0.24157814483679768	0.48543804637020144	0.8995295721985748
809	404749.0	2.0485	-0.0990581	4.167	0.19354956	0.52632631	0.04074727578947369	0.08347079445473686	0.24149507676590726	0.48662580767768915	0.9000101094977806
810	405249.0	2.0535	-0.09888709	4.167	0.19319068	0.52615871	0.04067172210526316	0.08351938134315791	0.24141817222165837	0.48781356898517675	0.9005339896291923
811	405749.0	2.0584	-0.0987154	4.167	0.19284984	0.52600768	0.04059996631578947	0.08357097066442104	0.24134887563850546	0.48897757506651457	0.901090242998796
812	406249.0	2.0635	-0.09854916	4.167	0.1925294	0.52589573	0.040532505263157895	0.08363882461052631	0.24129751101755048	0.490189091600152	0.9018218670100804
813	406750.0	2.0685	-0.09835635	4.167	0.1921862	0.52574479	0.04046025263157895	0.08369203256842105	0.24122825563469388	0.4913768529076396	0.9023955730628838
814	407250.0	2.0735	-0.09816967	4.167	0.19185577	0.52560979	0.04039068842105263	0.08375009244105264	0.24116630953544874	0.49256461421512737	0.903021594088153
815	407750.0	2.0784	-0.0980082	4.167	0.1915894	0.52555481	0.04033461052631579	0.08383145451789473	0.24114108868202586	0.4937286202964652	0.9038988672968957
816	408250.0	2.0835	-0.09785763	4.167	0.19132239	0.52551035	0.04027839789473684	0.0839200420136842	0.24112068574784706	0.4949401368301026	0.9048540473967911
817	408750.0	2.0885	-0.09768117	4.167	0.19097676	0.52535018	0.040205633684210526	0.08396946594947367	0.24104719141756012	0.49612789813759023	0.9053869528537508
818	409251.0	2.0935	-0.0975197	4.166	0.19057491	0.52511099	0.04012103368421052	0.08399338401789473	0.24093744365412534	0.49731565944507794	0.9056448454917595
819	409752.0	2.0984	-0.09734324	4.166	0.19015568	0.52483975	0.0400327747368421	0.08400477450778945	0.24081299318818758	0.49847966552641576	0.9057676615752094
820	410253.0	2.1035	-0.09716133	4.165	0.18980076	0.52466803	0.03995805473684211	0.08405176813894737	0.24073420274238388	0.4996911820600532	0.9062743626722867
821	410753.0	2.1085	-0.09694808	4.165	0.18943617	0.52447507	0.039881298947368415	0.0840897188305263	0.2406456684048914	0.5008789433675408	0.906683559761
822	411254.0	2.1135	-0.09676618	4.165	0.18909716	0.52431595	0.03980992842105263	0.08413828371789474	0.24057265512761478	0.5020667046750286	0.9072072026696814
823	411754.0	2.1186	-0.09660471	4.164	0.18878996	0.52420563	0.03974525473684211	0.08420429668547369	0.24052204316766557	0.5032782212086658	0.9079189766328635
824	412254.0	2.1235	-0.09643847	4.164	0.18848359	0.52408271	0.039680755789473686	0.08426208491894736	0.2404656427754989	0.5044422272900038	0.9085420687535996
825	412754.0	2.1285	-0.09626201	4.164	0.18814121	0.52391446	0.039608675789473684	0.08430706641789473	0.2403884378386484	0.5056299885974914	0.9090270743661308
826	413254.0	2.1335	-0.09608487	4.164	0.18780184	0.52374885	0.03953722947368421	0.08435267908210527	0.24031245406930068	0.5068177499049792	0.9095188854142797
827	413754.0	2.1386	-0.09592885	4.163	0.18749127	0.52362807	0.03947184631578947	0.08441449053094735	0.24025703393002598	0.5080292664386165	0.9101853571928699
828	414255.0	2.1435	-0.09577828	4.163	0.18720893	0.5235331	0.039412406315789475	0.08448049293789474	0.24021346491677031	0.5091932725199544	0.9108970172877795
829	414755.0	2.1485	-0.09561204	4.162	0.18691925	0.52343271	0.039351421052631584	0.08454652813157895	0.24016739616460503	0.510381033827442	0.9116090309002851
830	415255.0	2.1535	-0.09543558	4.162	0.18662855	0.52332955	0.03929022105263158	0.08461149103684211	0.24012006659799973	0.5115687951349297	0.912309482739292
831	415756.0	2.1586	-0.09523255	4.162	0.18628045	0.52315055	0.03921693684210526	0.08465367986736841	0.24003793257163375	0.5127803116685671	0.9127643768639927
832	416256.0	2.1635	-0.09504519	4.162	0.18592064	0.5229414	0.03914118736842105	0.08468195887157895	0.23994197148732685	0.513944317749905	0.9130692905747376
833	416756.0	2.1685	-0.09484284	4.162	0.18554794	0.52271857	0.03906272421052631	0.0847075174505263	0.23983972654535973	0.5151320790573926	0.9133448717476171
