4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
52574.00000000	-1.47330000	-0.09371460	4.17700000	0.21916418	0.51577179
53074.00000000	-1.46830000	-0.09443201	4.17700000	0.22016297	0.51650656
53574.00000000	-1.46320000	-0.09511332	4.17700000	0.22113402	0.51719427
54074.00000000	-1.45820000	-0.09576806	4.17700000	0.22205881	0.51783128
54574.00000000	-1.45330000	-0.09643847	4.17700000	0.22299096	0.51848053
55074.00000000	-1.44810000	-0.09710410	4.17600000	0.22397991	0.51916352
55574.00000000	-1.44320000	-0.09777451	4.17600000	0.22494245	0.51983718
56074.00000000	-1.43820000	-0.09842448	4.17600000	0.22590391	0.52049516
56574.00000000	-1.43330000	-0.09906900	4.17600000	0.22684703	0.52113570
57074.00000000	-1.42830000	-0.09970806	4.17600000	0.22777516	0.52174470
57574.00000000	-1.42320000	-0.10037370	4.17600000	0.22867217	0.52230375
58074.00000000	-1.41820000	-0.10103866	4.17600000	0.22954183	0.52283577
58574.00000000	-1.41330000	-0.10168863	4.17700000	0.23040191	0.52336132
59074.00000000	-1.40830000	-0.10231202	4.17700000	0.23129513	0.52391042
59574.00000000	-1.40320000	-0.10293610	4.17700000	0.23219233	0.52444969
60075.00000000	-1.39810000	-0.10356495	4.17700000	0.23305190	0.52494147
60575.00000000	-1.39330000	-0.10418903	4.17800000	0.23392004	0.52546631
61075.00000000	-1.38810000	-0.10482809	4.17800000	0.23481517	0.52597883
61575.00000000	-1.38320000	-0.10545694	4.17900000	0.23564560	0.52644246
62076.00000000	-1.37820000	-0.10605990	4.18000000	0.23641433	0.52682329
62576.00000000	-1.37330000	-0.10667307	4.18000000	0.23725644	0.52729100
63077.00000000	-1.36810000	-0.10728693	4.18000000	0.23813192	0.52776218
63577.00000000	-1.36320000	-0.10788444	4.18000000	0.23899355	0.52824207
64077.00000000	-1.35820000	-0.10847173	4.18100000	0.23984475	0.52869602
64577.00000000	-1.35330000	-0.10908491	4.18100000	0.24068581	0.52914387
65077.00000000	-1.34810000	-0.10976076	4.18100000	0.24157615	0.52961168
65577.00000000	-1.34320000	-0.11038484	4.18000000	0.24238237	0.53001198
66077.00000000	-1.33820000	-0.11096668	4.18000000	0.24312915	0.53033315
66578.00000000	-1.33310000	-0.11150764	4.18000000	0.24388938	0.53065483
67079.00000000	-1.32810000	-0.11206903	4.18000000	0.24470013	0.53103702
67579.00000000	-1.32320000	-0.11263043	4.17900000	0.24550317	0.53141636
68080.00000000	-1.31820000	-0.11321227	4.17900000	0.24628823	0.53176182
68580.00000000	-1.31310000	-0.11377367	4.17800000	0.24704596	0.53206333
69080.00000000	-1.30810000	-0.11431463	4.17700000	0.24779279	0.53235896
69580.00000000	-1.30320000	-0.11483446	4.17700000	0.24849194	0.53260952
70081.00000000	-1.29820000	-0.11539586	4.17700000	0.24921888	0.53287564
70581.00000000	-1.29310000	-0.11595658	4.17700000	0.24992942	0.53310986
71081.00000000	-1.28810000	-0.11651798	4.17600000	0.25061530	0.53332407
71582.00000000	-1.28320000	-0.11707937	4.17600000	0.25129492	0.53353811
72082.00000000	-1.27820000	-0.11764077	4.17600000	0.25193867	0.53369990
72582.00000000	-1.27310000	-0.11818173	4.17400000	0.25254935	0.53381252
73082.00000000	-1.26810000	-0.11870157	4.17300000	0.25318936	0.53396292
73583.00000000	-1.26320000	-0.11922141	4.17200000	0.25383378	0.53412479
74084.00000000	-1.25820000	-0.11974124	4.17100000	0.25447584	0.53426989
74584.00000000	-1.25310000	-0.12028152	4.17100000	0.25508060	0.53436148
75084.00000000	-1.24810000	-0.12078092	4.17100000	0.25564092	0.53441364
75584.00000000	-1.24320000	-0.12132120	4.17000000	0.25622282	0.53449563
76084.00000000	-1.23800000	-0.12186147	4.17000000	0.25684801	0.53458684
76584.00000000	-1.23310000	-0.12244399	4.17100000	0.25749449	0.53472876
77084.00000000	-1.22810000	-0.12300539	4.17100000	0.25813431	0.53484914
77584.00000000	-1.22320000	-0.12354567	4.17000000	0.25871527	0.53491576
78084.00000000	-1.21800000	-0.12404507	4.17000000	0.25923429	0.53488207
78585.00000000	-1.21310000	-0.12454378	4.17000000	0.25973300	0.53485705
79086.00000000	-1.20810000	-0.12504318	4.17000000	0.26023071	0.53481674
79587.00000000	-1.20300000	-0.12554190	4.17000000	0.26068624	0.53471881
80088.00000000	-1.19800000	-0.12604130	4.17100000	0.26114234	0.53462941
80589.00000000	-1.19310000	-0.12654002	4.17100000	0.26157930	0.53452854
81089.00000000	-1.18810000	-0.12703873	4.17300000	0.26201590	0.53441307
81589.00000000	-1.18300000	-0.12755857	4.17400000	0.26242578	0.53425603
82090.00000000	-1.17800000	-0.12807841	4.17500000	0.26281907	0.53409038
82590.00000000	-1.17310000	-0.12857781	4.17500000	0.26317078	0.53389099
83090.00000000	-1.16810000	-0.12909765	4.17600000	0.26351002	0.53366482
83590.00000000	-1.16300000	-0.12961748	4.17700000	0.26383353	0.53340848
84090.00000000	-1.15800000	-0.13011620	4.17700000	0.26412317	0.53312664
84590.00000000	-1.15310000	-0.13065648	4.17700000	0.26444229	0.53288341
85090.00000000	-1.14810000	-0.13119744	4.17700000	0.26471171	0.53257590
85590.00000000	-1.14300000	-0.13169616	4.17700000	0.26490691	0.53217957
86091.00000000	-1.13800000	-0.13215399	4.17700000	0.26505846	0.53174866
86592.00000000	-1.13310000	-0.13263227	4.17700000	0.26522762	0.53134480
87093.00000000	-1.12800000	-0.13310987	4.17700000	0.26529912	0.53081744
87593.00000000	-1.12300000	-0.13360927	4.17700000	0.26535103	0.53028010
88093.00000000	-1.11800000	-0.13414955	4.17700000	0.26541939	0.52975709
88593.00000000	-1.11310000	-0.13466938	4.17800000	0.26542877	0.52918502
89093.00000000	-1.10800000	-0.13516878	4.17800000	0.26535231	0.52850168
89593.00000000	-1.10300000	-0.13564706	4.17800000	0.26521394	0.52776678
90093.00000000	-1.09800000	-0.13614578	4.17800000	0.26507096	0.52702554
90593.00000000	-1.09310000	-0.13666562	4.17800000	0.26483080	0.52619803
91093.00000000	-1.08800000	-0.13718545	4.17800000	0.26461002	0.52536406
91593.00000000	-1.08300000	-0.13768417	4.17800000	0.26425666	0.52440894
92093.00000000	-1.07800000	-0.13820401	4.17800000	0.26387461	0.52342383
92593.00000000	-1.07310000	-0.13868229	4.17800000	0.26338980	0.52234751
93094.00000000	-1.06800000	-0.13914013	4.17800000	0.26271491	0.52105693
93594.00000000	-1.06300000	-0.13961772	4.17900000	0.26193298	0.51967091
94094.00000000	-1.05800000	-0.14013756	4.17900000	0.26109598	0.51822875
94594.00000000	-1.05310000	-0.14063696	4.18000000	0.26008524	0.51662481
95095.00000000	-1.04800000	-0.14115680	4.18000000	0.25900324	0.51492375
95595.00000000	-1.04300000	-0.14169708	4.18100000	0.25854909	0.51385736
